property_type,sector,society,price,price_per_sqft,area,super_built_up_area,built_up_area,carpet_area,bedRoom,bathroom,balcony,floorNum,agePossession,store room,servant room,puja room,study room,others,East,North,North-East,North-West,South,South-East,South-West,Unknown,West,furnish_type,luxury_score
house,sector 1,,5.6,17284.0,3239.99,,3240.0,,8.0,6.0,3+,,moderately old,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,122.0
house,sector 45,,17.0,37777.0,4500.09,,4500.0,,5.0,8.0,3+,3.0,relatively new,1,1,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,144.0
house,sector 112,experion windchants. ,7.99,12519.0,6382.3,,6382.0,,4.0,6.0,3,2.0,new property,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,157.0
house,sector 49,uppal southend. ,3.75,25562.0,1467.02,,1467.0,,6.0,6.0,3,3.0,moderately old,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,151.0
house,sector 48,vipul tatvam villa,7.25,27971.0,2591.97,,2592.0,,3.0,4.0,2,2.0,moderately old,1,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,171.0
house,sector 48,vipul tatvam villa,8.4,21000.0,4000.0,,4000.0,,4.0,5.0,3+,2.0,moderately old,0,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,175.0
house,sector 55,,3.55,24500.0,1448.98,,1449.0,,4.0,4.0,3+,2.0,old,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,119.0
house,sector 91,dlf new town heights. ,2.5,7058.0,3542.08,,3400.0,,4.0,4.0,3+,3.0,moderately old,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,143.0
house,sector 86,dlf new town heights . ,2.5,7058.0,3542.08,,3400.0,,4.0,4.0,3+,3.0,moderately old,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,139.0
house,sector 111,puri diplomatic greens. ,9.0,11250.0,8000.0,,8000.0,,5.0,5.0,3+,3.0,relatively new,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,151.0
house,sector 40,,2.1,23333.0,900.01,,900.0,,3.0,3.0,2,3.0,moderately old,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,159.0
flat,sector 61,smart world orchard,2.5,16139.0,1549.04,,1549.0,,3.0,3.0,1,1.0,unknown,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,152.0
flat,sector 61,smart world orchard,2.0,12911.0,1549.07,,,1549.0,3.0,3.0,2,3.0,new property,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,152.0
flat,sector 61,smart world orchard,2.41,14785.0,1630.03,,1630.0,1625.0,3.0,3.0,3,2.0,unknown,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,152.0
flat,sector 61,smart world orchard,2.41,14785.0,1630.03,,1630.0,1625.0,3.0,3.0,3,2.0,unknown,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,152.0
flat,sector 61,smart world orchard,2.24,14460.0,1549.1,1549.0,1549.0,,3.0,3.0,2,3.0,new property,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,152.0
house,sector 109,international city by sobha phase ,5.65,10463.0,5399.98,,5400.0,,4.0,4.0,3+,2.0,new property,0,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,145.0
house,sector 66,emaar mgf marbella,8.8,41615.0,2114.62,,267.0,,4.0,4.0,3+,3.0,relatively new,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,157.0
house,sector 4,,3.25,14444.0,2250.07,,2250.0,,3.0,3.0,2,2.0,old,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,125.0
house,sector 4,,5.0,10101.0,4950.0,,4950.0,,3.0,3.0,2,1.0,old,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,142.0
